ID	item	session	res	correct	test	ident	RT	score	origin	quality	condition
A19PATBI3SQNU0	filler	0	1	1	filler	filler	3517	1	native	good	5
A19PATBI3SQNU0	filler	0	1	1	filler	filler	3354	1	native	good	5
A19PATBI3SQNU0	filler	0	0	1	filler	filler	3863	1	native	good	5
A19PATBI3SQNU0	filler	0	0	1	filler	filler	3256	1	native	good	5
A19PATBI3SQNU0	guta1guta8	0	0	0	guta	diff	4117	1	native	good	5
A19PATBI3SQNU0	guta8guta8	0	0	1	guta	same	3486	1	native	good	5
A19PATBI3SQNU0	guta8guta1	0	1	1	guta	diff	4645	1	native	good	5
A19PATBI3SQNU0	guta1guta1	0	0	1	guta	same	4404	1	native	good	5
A19PATBI3SQNU0	lita1lita1	0	0	1	lita	same	4136	1	native	good	5
A19PATBI3SQNU0	lita8lita8	0	0	1	lita	same	3830	1	native	good	5
A19PATBI3SQNU0	lita1lita8	0	1	1	lita	diff	4360	1	native	good	5
A19PATBI3SQNU0	lita8lita1	0	1	1	lita	diff	4712	1	native	good	5
A19PATBI3SQNU0	filler	1	1	1	filler	filler	3409	1	native	good	5
A19PATBI3SQNU0	filler	1	1	1	filler	filler	3047	1	native	good	5
A19PATBI3SQNU0	filler	1	0	1	filler	filler	3242	1	native	good	5
A19PATBI3SQNU0	filler	1	0	1	filler	filler	3428	1	native	good	5
A19PATBI3SQNU0	guta8guta1	1	1	1	guta	diff	3984	1	native	good	5
A19PATBI3SQNU0	guta1guta1	1	0	1	guta	same	3398	1	native	good	5
A19PATBI3SQNU0	guta1guta8	1	1	1	guta	diff	3408	1	native	good	5
A19PATBI3SQNU0	guta8guta8	1	0	1	guta	same	3546	1	native	good	5
A19PATBI3SQNU0	lita8lita1	1	1	1	lita	diff	3949	1	native	good	5
A19PATBI3SQNU0	lita1lita1	1	0	1	lita	same	3722	1	native	good	5
A19PATBI3SQNU0	lita8lita8	1	0	1	lita	same	3434	1	native	good	5
A19PATBI3SQNU0	lita1lita8	1	1	1	lita	diff	4163	1	native	good	5
A1AQK667NBERJ1	filler	0	1	1	filler	filler	3816	1	native	medium	5
A1AQK667NBERJ1	filler	0	1	1	filler	filler	2694	1	native	medium	5
A1AQK667NBERJ1	filler	0	0	1	filler	filler	2978	1	native	medium	5
A1AQK667NBERJ1	filler	0	0	1	filler	filler	3159	1	native	medium	5
A1AQK667NBERJ1	guta8guta8	0	0	1	guta	same	3276	1	native	medium	5
A1AQK667NBERJ1	guta1guta1	0	0	1	guta	same	3092	1	native	medium	5
A1AQK667NBERJ1	guta8guta1	0	0	0	guta	diff	4083	1	native	medium	5
A1AQK667NBERJ1	guta1guta8	0	0	0	guta	diff	4083	1	native	medium	5
A1AQK667NBERJ1	lita1lita8	0	0	0	lita	diff	4348	1	native	medium	5
A1AQK667NBERJ1	lita8lita1	0	0	0	lita	diff	3501	1	native	medium	5
A1AQK667NBERJ1	lita8lita8	0	0	1	lita	same	2945	1	native	medium	5
A1AQK667NBERJ1	lita1lita1	0	0	1	lita	same	3564	1	native	medium	5
A1AQK667NBERJ1	filler	1	1	1	filler	filler	3058	1	native	medium	5
A1AQK667NBERJ1	filler	1	1	1	filler	filler	2458	1	native	medium	5
A1AQK667NBERJ1	filler	1	0	1	filler	filler	2511	1	native	medium	5
A1AQK667NBERJ1	filler	1	0	1	filler	filler	2504	1	native	medium	5
A1AQK667NBERJ1	guta8guta1	1	0	0	guta	diff	3118	1	native	medium	5
A1AQK667NBERJ1	guta1guta1	1	0	1	guta	same	2428	1	native	medium	5
A1AQK667NBERJ1	guta8guta8	1	0	1	guta	same	2781	1	native	medium	5
A1AQK667NBERJ1	guta1guta8	1	0	0	guta	diff	2396	1	native	medium	5
A1AQK667NBERJ1	lita1lita8	1	0	0	lita	diff	2073	1	native	medium	5
A1AQK667NBERJ1	lita8lita8	1	0	1	lita	same	2791	1	native	medium	5
A1AQK667NBERJ1	lita1lita1	1	0	1	lita	same	2615	1	native	medium	5
A1AQK667NBERJ1	lita8lita1	1	0	0	lita	diff	2715	1	native	medium	5
A1R0689JPSQ3OF	filler	0	1	1	filler	filler	4225	1	native	good	5
A1R0689JPSQ3OF	filler	0	1	1	filler	filler	2865	1	native	good	5
A1R0689JPSQ3OF	filler	0	0	1	filler	filler	3817	1	native	good	5
A1R0689JPSQ3OF	filler	0	0	1	filler	filler	3036	1	native	good	5
A1R0689JPSQ3OF	guta8guta8	0	0	1	guta	same	3494	1	native	good	5
A1R0689JPSQ3OF	guta1guta8	0	1	1	guta	diff	8737	1	native	good	5
A1R0689JPSQ3OF	guta1guta1	0	0	1	guta	same	3762	1	native	good	5
A1R0689JPSQ3OF	guta8guta1	0	0	0	guta	diff	4614	1	native	good	5
A1R0689JPSQ3OF	lita1lita8	0	0	0	lita	diff	12087	1	native	good	5
A1R0689JPSQ3OF	lita8lita8	0	0	1	lita	same	3971	1	native	good	5
A1R0689JPSQ3OF	lita1lita1	0	0	1	lita	same	3755	1	native	good	5
A1R0689JPSQ3OF	lita8lita1	0	0	0	lita	diff	5978	1	native	good	5
A1R0689JPSQ3OF	filler	1	0	1	filler	filler	2720	1	native	good	5
A1R0689JPSQ3OF	filler	1	1	1	filler	filler	2832	1	native	good	5
