"ID" "item" "session" "res" "correct" "type" "trial" "RT" "score" "origin" "quality" "group" "twice"
"61316097" "guta1guta8" 0 0 0 "guta" "diff" 4117 1 "native" "good" 5 FALSE
"61316097" "guta8guta8" 0 0 1 "guta" "same" 3486 1 "native" "good" 5 FALSE
"61316097" "guta8guta1" 0 1 1 "guta" "diff" 4645 1 "native" "good" 5 FALSE
"61316097" "guta1guta1" 0 0 1 "guta" "same" 4404 1 "native" "good" 5 FALSE
"61316097" "lita1lita1" 0 0 1 "lita" "same" 4136 1 "native" "good" 5 FALSE
"61316097" "lita8lita8" 0 0 1 "lita" "same" 3830 1 "native" "good" 5 FALSE
"61316097" "lita1lita8" 0 1 1 "lita" "diff" 4360 1 "native" "good" 5 FALSE
"61316097" "lita8lita1" 0 1 1 "lita" "diff" 4712 1 "native" "good" 5 FALSE
"61316097" "guta8guta1" 1 1 1 "guta" "diff" 3984 1 "native" "good" 5 FALSE
"61316097" "guta1guta1" 1 0 1 "guta" "same" 3398 1 "native" "good" 5 FALSE
"61316097" "guta1guta8" 1 1 1 "guta" "diff" 3408 1 "native" "good" 5 FALSE
"61316097" "guta8guta8" 1 0 1 "guta" "same" 3546 1 "native" "good" 5 FALSE
"61316097" "lita8lita1" 1 1 1 "lita" "diff" 3949 1 "native" "good" 5 FALSE
"61316097" "lita1lita1" 1 0 1 "lita" "same" 3722 1 "native" "good" 5 FALSE
"61316097" "lita8lita8" 1 0 1 "lita" "same" 3434 1 "native" "good" 5 FALSE
"61316097" "lita1lita8" 1 1 1 "lita" "diff" 4163 1 "native" "good" 5 FALSE
"6f7f2d45" "guta8guta8" 0 0 1 "guta" "same" 3494 1 "native" "good" 5 FALSE
"6f7f2d45" "guta1guta8" 0 1 1 "guta" "diff" 8737 1 "native" "good" 5 FALSE
"6f7f2d45" "guta1guta1" 0 0 1 "guta" "same" 3762 1 "native" "good" 5 FALSE
"6f7f2d45" "guta8guta1" 0 0 0 "guta" "diff" 4614 1 "native" "good" 5 FALSE
"6f7f2d45" "lita1lita8" 0 0 0 "lita" "diff" 12087 1 "native" "good" 5 FALSE
"6f7f2d45" "lita8lita8" 0 0 1 "lita" "same" 3971 1 "native" "good" 5 FALSE
"6f7f2d45" "lita1lita1" 0 0 1 "lita" "same" 3755 1 "native" "good" 5 FALSE
"6f7f2d45" "lita8lita1" 0 0 0 "lita" "diff" 5978 1 "native" "good" 5 FALSE
"6f7f2d45" "guta8guta8" 1 0 1 "guta" "same" 4405 1 "native" "good" 5 FALSE
"6f7f2d45" "guta8guta1" 1 1 1 "guta" "diff" 2891 1 "native" "good" 5 FALSE
"6f7f2d45" "guta1guta8" 1 1 1 "guta" "diff" 3276 1 "native" "good" 5 FALSE
"6f7f2d45" "guta1guta1" 1 0 1 "guta" "same" 3140 1 "native" "good" 5 FALSE
"6f7f2d45" "lita8lita8" 1 0 1 "lita" "same" 3097 1 "native" "good" 5 FALSE
"6f7f2d45" "lita1lita8" 1 1 1 "lita" "diff" 2971 1 "native" "good" 5 FALSE
"6f7f2d45" "lita8lita1" 1 1 1 "lita" "diff" 3654 1 "native" "good" 5 FALSE
"6f7f2d45" "lita1lita1" 1 0 1 "lita" "same" 3013 1 "native" "good" 5 FALSE
"a9b52603" "guta1guta8" 0 1 1 "guta" "diff" 4119 1 "native" "good" 5 FALSE
"a9b52603" "guta8guta8" 0 0 1 "guta" "same" 4309 1 "native" "good" 5 FALSE
"a9b52603" "guta8guta1" 0 1 1 "guta" "diff" 4685 1 "native" "good" 5 FALSE
"a9b52603" "guta1guta1" 0 0 1 "guta" "same" 4764 1 "native" "good" 5 FALSE
"a9b52603" "lita8lita1" 0 1 1 "lita" "diff" 4770 1 "native" "good" 5 FALSE
"a9b52603" "lita1lita1" 0 0 1 "lita" "same" 4457 1 "native" "good" 5 FALSE
"a9b52603" "lita8lita8" 0 1 0 "lita" "same" 4208 1 "native" "good" 5 FALSE
"a9b52603" "lita1lita8" 0 1 1 "lita" "diff" 4379 1 "native" "good" 5 FALSE
"a9b52603" "guta1guta1" 1 0 1 "guta" "same" 3087 1 "native" "good" 5 FALSE
"a9b52603" "guta8guta1" 1 1 1 "guta" "diff" 3254 1 "native" "good" 5 FALSE
"a9b52603" "guta1guta8" 1 1 1 "guta" "diff" 4365 1 "native" "good" 5 FALSE
"a9b52603" "guta8guta8" 1 0 1 "guta" "same" 3997 1 "native" "good" 5 FALSE
"a9b52603" "lita1lita1" 1 0 1 "lita" "same" 3938 1 "native" "good" 5 FALSE
"a9b52603" "lita8lita1" 1 1 1 "lita" "diff" 3216 1 "native" "good" 5 FALSE
"a9b52603" "lita1lita8" 1 1 1 "lita" "diff" 2968 1 "native" "good" 5 FALSE
"a9b52603" "lita8lita8" 1 0 1 "lita" "same" 2962 1 "native" "good" 5 FALSE
