ID category distance answer rating RT native problem
subject_1 apple2 1 Apple 1 8200 yes No
subject_1 sandwich 2 Food 1 4424 yes No
subject_1 cow1 1 cow 1 6076 yes No
subject_1 deer 3 animals 1 7052 yes No
subject_1 bird 4 animals 2 9691 yes No
subject_1 buffle 2 mammals 1 9759 yes No
subject_1 car 5 none 8 21559 yes No
subject_2 apple2 1 apples 1 4035 yes No
subject_2 sandwich 2 food 1 3361 yes No
subject_2 cow1 1 cows 1 3351 yes No
subject_2 buffle 2 animals 1 5695 yes No
subject_2 bird 4 animals 1 5363 yes No
subject_2 car 5 none 9 11156 yes No
subject_2 deer 3 animals 1 4584 yes No
subject_3 apple2 1 apples 1 7690 yes No
subject_3 sandwich 2 food 1 4746 yes No
subject_3 car 5 none 9 16795 yes No
subject_3 deer 3 animal 1 5413 yes No
subject_3 cow1 1 cows 1 3927 yes No
subject_3 bird 4 animal 1 16046 yes No
subject_3 buffle 2 mammal 1 9118 yes No
subject_4 apple2 1 apple 1 4580 yes No
subject_4 sandwich 2 food 1 2627 yes No
subject_4 car 5 none 9 5503 yes No
subject_4 cow1 1 cow 1 3405 yes No
subject_4 bird 4 animal 1 2942 yes No
subject_4 deer 3 mammal 2 8815 yes No
subject_4 buffle 2 animal 1 3758 yes No
subject_5 apple2 1 fruit 1 8133 yes No
subject_5 sandwich 2 food 3 7249 yes No
subject_5 buffle 2 animal 3 8030 yes No
subject_5 cow1 1 cow 2 8207 yes No
subject_5 deer 3 animal 3 5703 yes No
subject_5 bird 4 none 7 7677 yes No
subject_5 car 5 none 8 5829 yes No
subject_6 apple2 1 apple 1 3385 yes No
subject_6 sandwich 2 food 1 2855 yes No
subject_6 cow1 1 cow 1 3359 yes No
subject_6 car 5 transportation 7 11380 yes No
subject_6 deer 3 animal 3 3629 yes No
subject_6 bird 4 living-being 9 34545 yes No
subject_6 buffle 2 mammal 3 7005 yes No
subject_7 apple2 1 apple 1 4767 yes No
subject_7 sandwich 2 food 1 3685 yes No
subject_7 car 5 none 9 9502 yes No
subject_7 deer 3 Animal 2 13838 yes No
subject_7 bird 4 animal 2 8670 yes No
subject_7 cow1 1 cow 1 4649 yes No
subject_7 buffle 2 cow 4 8256 yes No
subject_8 apple2 1 apple 1 5146 yes No
subject_8 sandwich 2 food 1 3559 yes No
subject_8 deer 3 animals 1 4121 yes No
subject_8 car 5 ride-ables 8 37344 yes No
subject_8 bird 4 animals 2 4621 yes No
subject_8 buffle 2 animals 2 4363 yes No
subject_8 cow1 1 cows 1 4034 yes No
subject_9 apple2 1 apple 1 3985 yes No
subject_9 sandwich 2 Food 2 4236 yes No
subject_9 deer 3 Quadruped 6 15909 yes No
subject_9 cow1 1 Cow 1 5344 yes No
subject_9 bird 4 Animal 3 9251 yes No
subject_9 car 5 Mobile 7 15380 yes No
subject_9 buffle 2 Bovine 7 11230 yes No
subject_10 apple2 1 apple 1 4163 yes No
subject_10 sandwich 2 food 1 4051 yes No
subject_10 buffle 2 cows 1 5441 yes No
subject_10 car 5 things 7 10230 yes No
subject_10 cow1 1 cow 1 4349 yes No
subject_10 deer 3 animals 1 4082 yes No
subject_10 bird 4 animals 1 3959 yes No
subject_11 apple2 1 apple 1 7192 yes No
subject_11 sandwich 2 food 1 2980 yes No
subject_11 buffle 2 cow 1 4981 yes No
subject_11 bird 4 animal 1 3697 yes No
subject_11 cow1 1 cow 1 4415 yes No
subject_11 deer 3 animal 1 4951 yes No
subject_11 car 5 thing 1 5037 yes No
subject_12 apple2 1 apple 1 3787 yes No
subject_12 sandwich 2 food 3 3258 yes No
subject_12 buffle 2 animal 2 5254 yes No
subject_12 deer 3 mamal 2 5248 yes No
subject_12 cow1 1 cow 1 4187 yes No
subject_12 car 5 none 9 8852 yes No
subject_12 bird 4 animal 2 4180 yes No
subject_13 apple2 1 apple 1 5207 yes No
subject_13 sandwich 2 food 1 3035 yes No
subject_13 cow1 1 cow 1 2919 yes No
subject_13 bird 4 animal 2 4355 yes No
subject_13 deer 3 mammal 3 6668 yes No
subject_13 car 5 object 5 5696 yes No
subject_13 buffle 2 beast 7 9542 yes No
subject_14 apple2 1 apple 1 3912 yes No
subject_14 sandwich 2 food 1 3635 yes No
subject_14 car 5 large 1 10399 yes No
subject_14 deer 3 animal 1 4223 yes No
subject_14 cow1 1 cow 1 3411 yes No
subject_14 buffle 2 mammal 1 4265 yes No
subject_14 bird 4 animal 1 5966 yes No
subject_15 apple2 1 Apple 1 4389 yes No
subject_15 sandwich 2 Food 1 3104 yes No
subject_15 buffle 2 Animal 1 4443 yes No
subject_15 bird 4 animals 1 5874 yes No
subject_15 deer 3 mammal 1 4756 yes No
subject_15 cow1 1 cow 1 3163 yes No
subject_15 car 5 none 9 8488 yes No
subject_16 apple2 1 apple 1 8368 yes No
