"ID" "type" "concept1" "concept2" "distance" "rating"
"c302b68d" "prac" "deer" "cow1" 2 7
"c302b68d" "prac" "deer" "car" 2 9
"c302b68d" "prac" "cow1" "bird" 3 8
"c302b68d" "prac" "cow1" "car" 4 9
"c302b68d" "prac" "cow" "cow1" 1 2
"c302b68d" "prac" "bird" "buffle" 2 8
"c302b68d" "prac" "car" "buffle" 3 9
"c302b68d" "prac" "cow1" "cow" 1 2
"c302b68d" "prac" "cow" "deer" 3 6
"c302b68d" "prac" "cow" "bird" 4 8
"c302b68d" "real" "deer" "cow1" 2 6
"c302b68d" "real" "deer" "car" 2 9
"c302b68d" "real" "cow1" "bird" 3 8
"c302b68d" "real" "cow1" "car" 4 9
"c302b68d" "real" "cow" "cow1" 1 2
"c302b68d" "real" "bird" "buffle" 2 8
"c302b68d" "real" "car" "buffle" 3 9
"c302b68d" "real" "cow1" "cow" 1 2
"c302b68d" "real" "cow" "deer" 3 6
"c302b68d" "real" "cow" "bird" 4 8
"c302b68d" "real" "buffle" "cow1" 1 4
"c302b68d" "real" "deer" "cow" 3 7
"c302b68d" "real" "car" "bird" 1 9
"c302b68d" "real" "cow" "car" 5 9
"c302b68d" "real" "bird" "car" 1 9
"c302b68d" "real" "car" "cow1" 4 9
"c302b68d" "real" "deer" "buffle" 1 8
"c302b68d" "real" "car" "cow" 5 9
"c302b68d" "real" "buffle" "car" 3 9
"c302b68d" "real" "cow" "buffle" 2 4
"c302b68d" "real" "buffle" "cow" 2 4
"c302b68d" "real" "deer" "bird" 1 8
"c302b68d" "real" "car" "deer" 2 9
"c302b68d" "real" "cow1" "deer" 2 8
"c302b68d" "real" "bird" "deer" 1 8
"c302b68d" "real" "buffle" "deer" 1 7
"c302b68d" "real" "cow1" "buffle" 1 4
"c302b68d" "real" "buffle" "bird" 2 8
"c302b68d" "real" "bird" "cow1" 3 8
"c302b68d" "real" "bird" "cow" 4 8
"b62c9a8" "prac" "car" "cow1" 4 9
"b62c9a8" "prac" "cow1" "deer" 2 3
"b62c9a8" "prac" "bird" "deer" 1 5
"b62c9a8" "prac" "deer" "cow" 3 3
"b62c9a8" "prac" "deer" "bird" 1 5
"b62c9a8" "prac" "buffle" "bird" 2 6
"b62c9a8" "prac" "cow" "cow1" 1 1
"b62c9a8" "prac" "car" "bird" 1 9
"b62c9a8" "prac" "buffle" "deer" 1 4
"b62c9a8" "prac" "bird" "cow" 4 6
"b62c9a8" "real" "car" "cow1" 4 9
"b62c9a8" "real" "cow1" "deer" 2 3
"b62c9a8" "real" "bird" "deer" 1 6
"b62c9a8" "real" "deer" "cow" 3 3
"b62c9a8" "real" "deer" "bird" 1 6
"b62c9a8" "real" "buffle" "bird" 2 7
"b62c9a8" "real" "cow" "cow1" 1 1
"b62c9a8" "real" "car" "bird" 1 9
"b62c9a8" "real" "buffle" "deer" 1 4
"b62c9a8" "real" "bird" "cow" 4 6
"b62c9a8" "real" "car" "cow" 5 9
"b62c9a8" "real" "buffle" "car" 3 9
"b62c9a8" "real" "cow" "car" 5 9
"b62c9a8" "real" "buffle" "cow" 2 2
"b62c9a8" "real" "cow" "deer" 3 3
"b62c9a8" "real" "deer" "car" 2 9
"b62c9a8" "real" "bird" "car" 1 9
"b62c9a8" "real" "cow1" "buffle" 1 2
"b62c9a8" "real" "deer" "buffle" 1 3
"b62c9a8" "real" "bird" "cow1" 3 6
"b62c9a8" "real" "car" "deer" 2 9
"b62c9a8" "real" "cow1" "bird" 3 6
"b62c9a8" "real" "cow1" "car" 4 9
"b62c9a8" "real" "cow1" "cow" 1 1
"b62c9a8" "real" "car" "buffle" 3 9
"b62c9a8" "real" "buffle" "cow1" 1 2
"b62c9a8" "real" "cow" "buffle" 2 2
